"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @CBNostalgia: Happy #DCComics birthday to the one and only @RealKevinConroy... THE voice of #Batman for my generation and all to come!!…",FALSE,0,NA,2016-12-01 21:52:53,FALSE,NA,"804443175263805441",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","OtakuNationUK",62,TRUE,FALSE,NA,NA
"Na-na-na-na-na #Batman!!! Always be yourself, unless you can be Batman of course, then always be Batman. For me... https://t.co/4uInZQ76dm",FALSE,0,NA,2016-12-01 21:52:53,FALSE,NA,"804443174576029702",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","RamasScreen",0,FALSE,FALSE,NA,NA
"got @DCComics ""Batman"" Annual #1 by @TomKingTK @thesteveorlando @BilquisEvely at @fpinternational #DCComics #Batman https://t.co/9ye6y3VHa6",FALSE,0,NA,2016-12-01 21:52:44,FALSE,NA,"804443139364757505",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i<U+039F>S</a>","tbwUltraPowers",0,FALSE,FALSE,NA,NA
"RT @enigblogger: «Quello è #Batman!», @MichaelKeaton  arriva tardi al ristorante e non lo fanno mangiare https://t.co/ELxuaZprQ9. Poi lo ri…",FALSE,0,NA,2016-12-01 21:52:38,FALSE,NA,"804443113926365184",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","emmanuelap",1,TRUE,FALSE,NA,NA
"RT @B10n1c_Ch1mp: Slightly random lunch paint of @camrenbicondova as Tim Burton's Catwoman. Decent casting to be fair. #catwoman #batman #g…",FALSE,0,NA,2016-12-01 21:52:29,FALSE,NA,"804443075728666624",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jerome_velaska",11,TRUE,FALSE,NA,NA
"RT @ChrisJInFiction: #harleyquinn #dccomics #dc #batman #gotham #copic #suicidesquad @ Starbucks https://t.co/CexZ1bMUzB",FALSE,0,NA,2016-12-01 21:52:21,FALSE,NA,"804443042539327492",NA,"<a href=""https://clrlq.org"" rel=""nofollow"">Botisback</a>","d789s101112",2,TRUE,FALSE,NA,NA
"RT @NMcomics: #Batman #40 New 52 Second Print Snyder Capullo 3 Copies N/M #dccomics  #New52 @DCComics @eBay https://t.co/Y7ze00Vb1F",FALSE,0,NA,2016-12-01 21:52:06,FALSE,NA,"804442976969756672",NA,"<a href=""https://clrlq.org"" rel=""nofollow"">Botisback</a>","d789s101112",1,TRUE,FALSE,NA,NA
"Esto es bati-genial. #LEGO #Batman https://t.co/1WZ98wim3o",FALSE,0,NA,2016-12-01 21:51:57,FALSE,NA,"804442942261837826",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","revistayumecr",0,FALSE,FALSE,NA,NA
"RT @ETemelkuran: Bu ülkeyi, baska sey degil, çocuklarin ahi yikacak. #aladag #batman #ensar #pozanti",FALSE,0,NA,2016-12-01 21:51:46,FALSE,NA,"804442894652338176",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tellidogan",468,TRUE,FALSE,NA,NA
"Cool crossover! #IronMan #Batman #Marvel #DC https://t.co/tWNHQylLom",FALSE,0,NA,2016-12-01 21:51:29,FALSE,NA,"804442821662949376",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","nerdy_canadians",0,FALSE,FALSE,NA,NA
"RT @MichaelDAdams82: New poster Lego Batman poster. #LEGOBatmanMovie #batman #LegoBatman https://t.co/qG9NxcMGeR",FALSE,0,NA,2016-12-01 21:51:06,FALSE,NA,"804442726846500864",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","manuel_coutino",1,TRUE,FALSE,NA,NA
