"","score","text"
"1",1,"RT @CBNostalgia: Happy #DCComics birthday to the one and only @RealKevinConroy... THE voice of #Batman for my generation and all to come!!…"
"2",0,"Na-na-na-na-na #Batman!!! Always be yourself, unless you can be Batman of course, then always be Batman. For me... https://t.co/4uInZQ76dm"
"3",0,"got @DCComics ""Batman"" Annual #1 by @TomKingTK @thesteveorlando @BilquisEvely at @fpinternational #DCComics #Batman https://t.co/9ye6y3VHa6"
"4",0,"RT @enigblogger: «Quello è #Batman!», @MichaelKeaton  arriva tardi al ristorante e non lo fanno mangiare https://t.co/ELxuaZprQ9. Poi lo ri…"
"5",2,"RT @B10n1c_Ch1mp: Slightly random lunch paint of @camrenbicondova as Tim Burton's Catwoman. Decent casting to be fair. #catwoman #batman #g…"
"6",0,"RT @ChrisJInFiction: #harleyquinn #dccomics #dc #batman #gotham #copic #suicidesquad @ Starbucks https://t.co/CexZ1bMUzB"
"7",0,"RT @NMcomics: #Batman #40 New 52 Second Print Snyder Capullo 3 Copies N/M #dccomics  #New52 @DCComics @eBay https://t.co/Y7ze00Vb1F"
"8",0,"Esto es bati-genial. #LEGO #Batman https://t.co/1WZ98wim3o"
"9",0,"RT @ETemelkuran: Bu ülkeyi, baska sey degil, çocuklarin ahi yikacak. #aladag #batman #ensar #pozanti"
"10",2,"Cool crossover! #IronMan #Batman #Marvel #DC https://t.co/tWNHQylLom"
"11",0,"RT @MichaelDAdams82: New poster Lego Batman poster. #LEGOBatmanMovie #batman #LegoBatman https://t.co/qG9NxcMGeR"
"12",0,"«Quello è #Batman!», @MichaelKeaton  arriva tardi al ristorante e non lo fanno mangiare https://t.co/ELxuaZprQ9. Po… https://t.co/g68c4NtU3J"
"13",0,"RT @DCcomicsMX: ""Tú no eres aquello para lo que te hicieron. Tú eres algo más. Eres lo que decides ser"".

#Batman. https://t.co/zalTZMU3au"
"14",0,"#Batman #40 New 52 Second Print Snyder Capullo 3 Copies N/M #dccomics  #New52 @DCComics @eBay https://t.co/Y7ze00Vb1F"
"15",0,"New poster Lego Batman poster. #LEGOBatmanMovie #batman #LegoBatman https://t.co/qG9NxcMGeR"
"16",1,"RT @FlickFix: Exciting new Pod Day!! We cut up #TheDarkKnightRises and stitch it back together! #FixaFlick #PodernFamily #Batman https://t.…"
"17",0,"RT @ChrisJInFiction: #harleyquinn #dccomics #dc #batman #gotham #copic #suicidesquad @ Starbucks https://t.co/CexZ1bMUzB"
"18",0,"Watson Health And Pfizer Partner To Harness #Batman For Drug Discovery https://t.co/lsUHyq6ULK via @Jessicaemerrill"
"19",-1,"Doing a little sketching...<U+270F><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B6><U+0096><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BC><ed><U+00BE><U+0088> #Joker #Batman https://t.co/5jNPU0dqfw"
"20",-1,"A ver, si #Batman SOLO actúa de noche,  porqué el #Joker y los malvados de #Gotham no actúan de día?"
"21",2,"Perfection at its best #batgirl by ladymiracle #darknightgirl #batman #batfan #girlslovebatman… https://t.co/HUle6Ys9Y4"
"22",-1,"Christmas Joker in stock now #Batman #dccomics @ Luke &amp; Cade's Toy Chest https://t.co/TV2P3olbVT"
"23",2,"RT @tarastrong: A very happy birthday to the untouchable @RealKevinConroy an incredible talent…&amp; such a mensch. <U+2764><U+FE0F> u #Batman https://t.co/I…"
"24",1,"RT @HistoftheBatman: It's December Gothamites! Enjoy this #Batman / #CharlieBrown mash-up by Sarah J : https://t.co/gMAqs8R9GY! <U+2744><U+FE0F><U+2603><ed><U+00A0><U+00BC><ed><U+00BE><U+0085><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD><ed><U+00A0><U+00BC><ed><U+00BE><U+0084><ed><U+00A0><U+00BC><ed><U+00BE><U+0081> #Ch…"
"25",0,"RT @moviesdotcom: Decades After Tim Burton's #Batman, Billy Dee Williams Will Finally Become Two-Face https://t.co/gFi3aXizz0 https://t.co/…"
"26",2,"RT @Enthusiast_Greg: Retweet for a chance to win a #FreeCode for #Batman from @telltalegames Winner chosen at 8PM PST. #PC #Steam --&gt;Sub  h…"
"27",0,"Posted by: moviesdotcom #Movies Decades After Tim Burton's #Batman, Billy Dee Williams Will Finally Become Two-Fac… https://t.co/iSrdP6StjH"
"28",0,"<U+26A1><U+FE0F>BATGRAN<U+26A1><U+FE0F> #superhero #batgran #versus #batman #gotham #vs #brixham #gothbrixham #granny #101… https://t.co/agIaLmdODW"
"29",0,"Aquele cuja tia foi comida pelo Coringa! #batman #adamwest #cosplay #ccxp2016 #ccxp… https://t.co/lYr50mSbXC"
"30",0,"Decades After Tim Burton's #Batman, Billy Dee Williams Will Finally Become Two-Face https://t.co/gFi3aXizz0 https://t.co/N2bWk9jI6Q"
"31",0,"#Batman #ReturntoArkham Was hat der Irre nur vor? #LetsPlay https://t.co/Gau1brgfba"
"32",0,"Just picked up the 1989 #Batman #Soundtrack for only a few bucks."
"33",2,"RT @B10n1c_Ch1mp: Slightly random lunch paint of @camrenbicondova as Tim Burton's Catwoman. Decent casting to be fair. #catwoman #batman #g…"
"34",0,"#Batman 
#<U+0642><U+0635><U+0629>_<U+0641><U+064A><U+0644><U+0645> 
<U+0641><U+0642><U+0631><U+0629> ( <U+0623> ) https://t.co/YP68HKvKnw"
"35",0,"The #Gotham gang's all here in the new legobatmanmovie poster! <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BD><ed><U+00B1><U+008A> #Batman, #Robin and #Batgirl… https://t.co/wJgcIUmJPW"
"36",0,"#Kid #Toys BATMOBILE - DC Collectibles #Batman The Animated Series Batmobile - Free Shipping… https://t.co/R00wUb9KJc"
"37",-1,"Nuevo póster oficial de la película de animación #TheLEGOBatmanMovie con todos los personajes #batman #robin #joker… https://t.co/Wjvcznjmdh"
"38",0,"5 challenges to overcome if #Batman experiments are to scale to production environments https://t.co/xPGdTVGhgs… https://t.co/98ypkHLTpO"
"39",1,"RT @HistoftheBatman: It's December Gothamites! Enjoy this #Batman / #CharlieBrown mash-up by Sarah J : https://t.co/gMAqs8R9GY! <U+2744><U+FE0F><U+2603><ed><U+00A0><U+00BC><ed><U+00BE><U+0085><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD><ed><U+00A0><U+00BC><ed><U+00BE><U+0084><ed><U+00A0><U+00BC><ed><U+00BE><U+0081> #Ch…"
"40",0,"RT @BarenghiM: #batman #drawing took me 6 hours 28 minutes speed drawing video: https://t.co/loyxzt6r4p https://t.co/DP09JaAyRa"
"41",0,"#harleyquinn #dccomics #dc #batman #gotham #copic #suicidesquad @ Starbucks https://t.co/CexZ1bMUzB"
