"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Wer ist dieser #Superman ? - #Lernen #Aktien #SmallCaps https://t.co/0G18RfCFaZ #Strategie 450 000 in 40 Tagen https://t.co/xYVhQQQwhI",FALSE,0,NA,2016-12-01 22:00:39,FALSE,NA,"804445129079717889",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","ProAktienhandel",0,FALSE,FALSE,NA,NA
"Geek out! @ErinRhewBooks
&amp; I went to @CrystalCoastCon. 
Meet a #Jedi, #Jafar, #BatMan, #SuperMan, &amp; @shenryart 
https://t.co/yEtcVQZBea",FALSE,0,NA,2016-12-01 22:00:02,FALSE,NA,"804444976163733505",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","1DeekRhewBooks",0,FALSE,FALSE,NA,NA
"RT @Annavalaina: Aquí está uno de mis tesoros de #Superman. El cómic ""#SupermanPazenlaTierra"" de #PaulDini y… https://t.co/AgH6YOvW8X",FALSE,0,NA,2016-12-01 21:59:24,FALSE,NA,"804444817199681540",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Annavalaina",1,TRUE,FALSE,NA,NA
"RT @gaijintacle: Mientras, en #Japón... Real como el anime mismo <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #funny #wtf #superman https://t.co/vND2w9jM4S",FALSE,0,NA,2016-12-01 21:59:21,FALSE,NA,"804444801429078016",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AbelAnayaPardo",27,TRUE,FALSE,NA,NA
"RT @DCcomicsMX: #Superman https://t.co/CCPskSZS0T",FALSE,0,NA,2016-12-01 21:58:51,FALSE,NA,"804444674983362560",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NatanSelarom",18,TRUE,FALSE,NA,NA
"RT @RHOAZON: SUPER NORMAN REEDUS !!
@wwwbigbaldhead
#TheWalkingDead
#TWD
#SuperMan https://t.co/LjJOu3mWsm",FALSE,0,NA,2016-12-01 21:58:37,FALSE,NA,"804444617622089728",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RHOAZON",70,TRUE,FALSE,NA,NA
"RT @MovieStuff4_U: #Superman 2 1980

This was banned in Sweden for containing too much violence @imdb 

#heropoll 2 is pinned tweet https:/…",FALSE,0,NA,2016-12-01 21:54:33,FALSE,NA,"804443596149690368",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MovieStuff4_U",3,TRUE,FALSE,NA,NA
"RT @overjupiter: #WhatsForLunch #Superman (1954) https://t.co/GMSJz0fnbF",FALSE,0,NA,2016-12-01 21:54:32,FALSE,NA,"804443588864212992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EstyJuncal",3,TRUE,FALSE,NA,NA
"Who is #CaptainBane how does he help #Superman kill #Aquaman find out tonight @JKtalkcomics #AssholeSuperman W/… https://t.co/dSzdlyMERP",FALSE,0,NA,2016-12-01 21:54:29,TRUE,NA,"804443576046407684",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JKtalkcomics",0,FALSE,FALSE,NA,NA
"RT @pthenrycavillbr: #CCXP: Na @CCXPoficial  você pode tirar uma foto com o Superman como essa fã...@mandyyporto #warnernaccxp #superman #H…",FALSE,0,NA,2016-12-01 21:52:50,FALSE,NA,"804443163981189120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","louisfeel",2,TRUE,FALSE,NA,NA
"#superman #superhero #superdog #superkahraman @ Ankara, Turkey https://t.co/Mu3jLo2MCs",FALSE,0,NA,2016-12-01 21:51:46,FALSE,NA,"804442893981085696",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","kemiquecom",0,FALSE,FALSE,NA,NA
