"","score","text"
"1",0,"Wer ist dieser #Superman ? - #Lernen #Aktien #SmallCaps https://t.co/0G18RfCFaZ #Strategie 450 000 in 40 Tagen https://t.co/xYVhQQQwhI"
"2",0,"Geek out! @ErinRhewBooks
&amp; I went to @CrystalCoastCon. 
Meet a #Jedi, #Jafar, #BatMan, #SuperMan, &amp; @shenryart 
https://t.co/yEtcVQZBea"
"3",0,"RT @Annavalaina: Aquí está uno de mis tesoros de #Superman. El cómic ""#SupermanPazenlaTierra"" de #PaulDini y… https://t.co/AgH6YOvW8X"
"4",-2,"RT @gaijintacle: Mientras, en #Japón... Real como el anime mismo <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #funny #wtf #superman https://t.co/vND2w9jM4S"
"5",0,"RT @DCcomicsMX: #Superman https://t.co/CCPskSZS0T"
"6",1,"RT @RHOAZON: SUPER NORMAN REEDUS !!
@wwwbigbaldhead
#TheWalkingDead
#TWD
#SuperMan https://t.co/LjJOu3mWsm"
"7",0,"RT @MovieStuff4_U: #Superman 2 1980

This was banned in Sweden for containing too much violence @imdb 

#heropoll 2 is pinned tweet https:/…"
"8",0,"RT @overjupiter: #WhatsForLunch #Superman (1954) https://t.co/GMSJz0fnbF"
"9",-1,"Who is #CaptainBane how does he help #Superman kill #Aquaman find out tonight @JKtalkcomics #AssholeSuperman W/… https://t.co/dSzdlyMERP"
"10",0,"RT @pthenrycavillbr: #CCXP: Na @CCXPoficial  você pode tirar uma foto com o Superman como essa fã...@mandyyporto #warnernaccxp #superman #H…"
"11",0,"#superman #superhero #superdog #superkahraman @ Ankara, Turkey https://t.co/Mu3jLo2MCs"
"12",0,"#ChristopherReeve SUPERMAN - Christopher Reeve 30"" Premium Format Statue (Sideshow) #NEW https://t.co/Ueh5TtdwrO… https://t.co/bi6XHPnGeR"
"13",3,"@PatrickZircher @TommySmo Man! The amount of detail work here is astounding. #Superman's face at bottom LFT has less detail like camera DOF"
"14",0,"RT @GarySohmers: @NEComicCon @JerryOrdway #DC #Comics #SUPERMAN #Artist Sat Dec 3 only #NEComicCon  #Boston https://t.co/vI2n2ndCPJ #FreePa…"
"15",0,"#supergirl &amp; #superman https://t.co/jW3FBM4CRY"
"16",0,"RT @5nsrnbNhMmjJHyQ: #superman 
#<U+0642><U+0635><U+0629>_<U+0645><U+0633><U+0644><U+0633><U+0644> 
<U+0641><U+0642><U+0631><U+0629> ( <U+062C> )
<U+0645><U+0644><U+0627><U+062D><U+0638><U+0629> : <U+0645><U+0643><U+0645><U+0644> <U+0644><U+0645><U+0633><U+0644><U+0633><U+0644> #supergirl https://t.co/nR7uWihuQU"
